rank,doi,directory,reference_index,reference_type,url,status,saved_path,http_code,content_type,notes
16,10.1002/minf.201100076,data/original/workflows/10.1002_minf.201100076,1,myExperiment workflow,http://www.myexperiment.org/workflows/1841,pending,,,,
16,10.1002/minf.201100076,data/original/workflows/10.1002_minf.201100076,2,myExperiment workflow,http://www.myexperiment.org/workflows/2164,pending,,,,
22,10.1186/s13321-018-0315-6,data/original/workflows/10.1186_s13321-018-0315-6,1,GitHub repository,https://github.com/DGadaleta88/data_curation_workflow,pending,,,,
23,10.1371/journal.pone.0208626,data/original/workflows/10.1371_journal.pone.0208626,1,GitHub repository,https://github.com/Muh-Asif/ASD-genes-prediction,pending,,,,
24,10.3389/fchem.2018.00093,data/original/workflows/10.3389_fchem.2018.00093,1,project/download page,http://bioinformatics.charite.de/sweet/,pending,,,,
25,10.3390/encyclopedia3020035,data/original/workflows/10.3390_encyclopedia3020035,1,KNIME Hub workflow,https://hub.knime.com/-/spaces/-/latest/~xoK5FQgB_5Jmg54V/,pending,,,,
25,10.3390/encyclopedia3020035,data/original/workflows/10.3390_encyclopedia3020035,2,GitLab repository,https://gitlab.com/Jukic/knime_medchem_filters,pending,,,,
25,10.3390/encyclopedia3020035,data/original/workflows/10.3390_encyclopedia3020035,3,KNIME Hub workflow,https://hub.knime.com/marko_/spaces/Medicinal%20Chemistry%20Filtering/latest/~XQX98NGeZEgCxQ_j/,pending,,,,
26,10.1186/s13321-018-0299-2,data/original/workflows/10.1186_s13321-018-0299-2,1,GitHub repository,https://github.com/kmansouri/MS-ready,pending,,,,
29,10.1016/j.jprot.2016.08.002,data/original/workflows/10.1016_j.jprot.2016.08.002,1,GitHub repository,https://github.com/KNIME-OMICS,pending,,,,
30,10.1080/07391102.2018.1456975,data/original/workflows/10.1080_07391102.2018.1456975,1,project page,http://teqip.jdvu.ac.in/QSAR_Tools/,pending,,,,
