rank,title,doi,status,output_path,used_url,note
1,Content-aware image restoration: pushing the limits of fluorescence microscopy,https://doi.org/10.1038/s41592-018-0216-7,not_downloaded,,https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=54891,"open_access.oa_url; [Errno 8] nodename nor servname provided, or not known; https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=54891"
2,KNIME - the Konstanz information miner,https://doi.org/10.1145/1656274.1656280,not_downloaded,,https://content.openalex.org/works/W1979900513.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W1979900513.pdf"
3,Scientific workflow systems: Pipeline Pilot and KNIME,https://doi.org/10.1007/s10822-012-9577-7,not_downloaded,,https://content.openalex.org/works/W1969389753.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W1969389753.pdf"
4,Machine Learning Approach Using MLP and SVM Algorithms for the Fault Prediction of a Centrifugal Pump in the Oil and Gas Industry,https://doi.org/10.3390/su12114776,not_downloaded,,https://content.openalex.org/works/W3035667192.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W3035667192.pdf"
5,Open-source QSAR models for pKa prediction using multiple machine learning approaches,https://doi.org/10.1186/s13321-019-0384-1,not_downloaded,,https://content.openalex.org/works/W2973634761.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W2973634761.pdf"
6,The impact of engineering students' performance in the first three years on their graduation result using educational data mining,https://doi.org/10.1016/j.heliyon.2019.e01250,not_downloaded,,https://content.openalex.org/works/W2917344953.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W2917344953.pdf"
7,ImgLib2—generic image processing in Java,https://doi.org/10.1093/bioinformatics/bts543,not_downloaded,,https://content.openalex.org/works/W2170358380.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W2170358380.pdf"
8,Heart disease classification using data mining tools and machine learning techniques,https://doi.org/10.1007/s12553-020-00438-1,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
9,KNIME-CDK: Workflow-driven cheminformatics,https://doi.org/10.1186/1471-2105-14-257,not_downloaded,,https://content.openalex.org/works/W2124955716.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W2124955716.pdf"
10,Latest Tools for Data Mining and Machine Learning,https://doi.org/10.35940/ijitee.i1003.0789s19,not_downloaded,,https://content.openalex.org/works/W3189818995.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W3189818995.pdf"
11,KNIME: The Konstanz Information Miner,,not_downloaded,,https://content.openalex.org/works/W2395911948.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W2395911948.pdf"
12,"Correlation Review of Classification Algorithm Using Data Mining Tool: WEKA, Rapidminer, Tanagra, Orange and Knime",https://doi.org/10.1016/j.procs.2016.05.251,not_downloaded,,https://doi.org/10.1016/j.procs.2016.05.251,"open_access.oa_url; [Errno 8] nodename nor servname provided, or not known; https://doi.org/10.1016/j.procs.2016.05.251"
13,An automated curation procedure for addressing chemical errors and inconsistencies in public datasets used in QSAR modelling,https://doi.org/10.1080/1062936x.2016.1253611,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
14,An overview of free software tools for general data mining,https://doi.org/10.1109/mipro.2014.6859735,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
15,Linear discriminant analysis and principal component analysis to predict coronary artery disease,https://doi.org/10.1177/1460458219899210,not_downloaded,,https://content.openalex.org/works/W3001976279.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W3001976279.pdf"
16,KNIME Workflow to Assess PAINS Filters in SMARTS Format. Comparison of RDKit and Indigo Cheminformatics Libraries,https://doi.org/10.1002/minf.201100076,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
17,Data mining approach to predicting the performance of first year student in a university using the admission requirements,https://doi.org/10.1007/s10639-018-9839-7,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
18,A Comparison Study between Data Mining Tools over some Classification Methods,https://doi.org/10.14569/specialissue.2011.010304,not_downloaded,,https://content.openalex.org/works/W161431362.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W161431362.pdf"
19,kGCN: a graph-based deep learning framework for chemical structures,https://doi.org/10.1186/s13321-020-00435-6,not_downloaded,,https://content.openalex.org/works/W3030071125.pdf,"content_urls.pdf; [Errno 8] nodename nor servname provided, or not known; https://content.openalex.org/works/W3030071125.pdf"
20,KNIME for Open-Source Bioimage Analysis: A Tutorial,https://doi.org/10.1007/978-3-319-28549-8_7,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
