snapshot_id,snapshot_kind,snapshot_date,knime_version,source_basis,repos_processed,repos_skipped,plugin_xml_files,repos_with_plugin_xml,registered_nodes,registered_nodesets,registered_total,unique_factory_classes,deprecated_nodes,deprecated_nodesets,deprecated_total,unique_deprecated_factory_classes,deprecated_node_percent,hidden_nodes,hidden_node_percent,deprecated_and_hidden_nodes,node_description_files,description_deprecated_files,description_deprecated_percent,factory_class_mapper_count,migration_rule_count,nodes_added_since_previous,nodes_removed_since_previous,nodes_newly_deprecated_since_previous,nodes_no_longer_deprecated_since_previous,nodes_newly_hidden_since_previous,nodes_no_longer_hidden_since_previous,nodes_category_changed_since_previous
date-2018-04-03,date,2018-04-03,KNIME Analytics Platform 3.5.3 source-date anchor,git-date-checkout,44,46,90,47,1301,7,1308,866,193,0,193,136,14.83,2,0.15,0,1438,205,14.26,9,0,,,,,,,
date-2019-01-01,date,2019-01-01,date-based source snapshot,git-date-checkout,45,45,96,48,1500,8,1508,1038,248,0,248,174,16.53,2,0.13,0,1603,214,13.35,13,0,194,22,16,0,0,0,6
date-2019-12-05,date,2019-12-05,KNIME Analytics Platform 4.1.0 source-date anchor,git-date-checkout,53,37,97,47,1191,7,1198,1132,227,2,229,207,19.06,2,0.17,0,1298,165,12.71,13,47,140,46,30,0,0,0,148
date-2020-01-01,date,2020-01-01,date-based source snapshot,git-date-checkout,54,36,97,47,1200,7,1207,1143,228,2,230,208,19.00,2,0.17,0,1298,165,12.71,13,47,11,0,0,0,0,0,4
date-2021-01-01,date,2021-01-01,date-based source snapshot,git-date-checkout,60,30,109,47,1366,8,1374,1282,398,2,400,356,29.14,5,0.37,0,1382,253,18.31,15,46,140,1,80,0,0,0,111
date-2022-01-01,date,2022-01-01,date-based source snapshot,git-date-checkout,67,23,121,49,1424,8,1432,1345,386,2,388,349,27.11,8,0.56,0,1434,240,16.74,15,46,69,6,17,29,0,0,17
date-2023-01-01,date,2023-01-01,date-based source snapshot,git-date-checkout,72,18,121,49,1428,9,1437,1397,433,2,435,415,30.32,10,0.70,0,1448,287,19.82,16,46,56,4,61,0,0,0,67
date-2023-02-22,date,2023-02-22,KNIME Analytics Platform 5.0.0 source-date anchor,git-date-checkout,72,18,121,47,1442,9,1451,1397,433,2,435,416,30.03,9,0.62,0,1457,285,19.56,16,45,7,7,2,1,0,0,14
date-2024-01-01,date,2024-01-01,date-based source snapshot,git-date-checkout,80,10,117,46,1434,9,1443,1407,436,2,438,421,30.40,9,0.63,0,1442,289,20.04,17,45,17,7,4,0,0,0,3
date-2025-01-01,date,2025-01-01,date-based source snapshot,git-date-checkout,86,4,123,47,1488,9,1497,1443,446,2,448,430,29.97,23,1.55,0,1455,295,20.27,18,46,36,0,9,0,0,0,1
date-2026-01-01,date,2026-01-01,date-based source snapshot,git-date-checkout,90,0,129,49,1509,9,1518,1493,505,2,507,490,33.47,24,1.59,0,1278,298,23.32,18,52,52,2,60,0,0,13,3
date-2026-03-03,date,2026-03-03,KNIME Analytics Platform 5.11.0 source-date anchor,git-date-checkout,90,0,128,48,1503,9,1512,1487,503,2,505,488,33.47,25,1.66,0,1319,300,22.74,18,52,2,8,1,3,1,0,0
date-2026-06-28,date,2026-06-28,current local source-date snapshot,git-date-checkout,90,0,128,49,1506,9,1515,1490,502,2,504,487,33.33,24,1.59,0,1374,299,21.76,18,52,4,1,0,1,0,0,0
