repo,has_git_dir,hidden_top_level,included_in_date_checkout
.github,true,true,false
git-nodes-test,true,false,true
github-pullrequest-filter-plugin,true,false,true
incubator-livy,true,false,true
knime-activelearning,true,false,true
knime-ap-batch,true,false,true
knime-aws,true,false,true
knime-aws-services,true,false,true
knime-azure,true,false,true
knime-base,true,false,true
knime-base-expressions,true,false,true
knime-bigdata,true,false,true
knime-buildworkflows,true,false,true
knime-business-hub-public,true,false,true
knime-chemistry,true,false,true
knime-cloud,true,false,true
knime-cloud-aws,true,false,true
knime-cloud-azure,true,false,true
knime-conda,true,false,true
knime-core,true,false,true
knime-core-columnar,true,false,true
knime-core-table,true,false,true
knime-core-ui,true,false,true
knime-credentials-base,true,false,true
knime-database,true,false,true
knime-deeplearning,true,false,true
knime-designsystem,true,false,true
knime-dev,true,false,true
knime-dl4j,true,false,true
knime-email,true,false,true
knime-ensembles,true,false,true
knime-examples,true,false,true
knime-excel,true,false,true
knime-exttool,true,false,true
knime-filehandling,true,false,true
knime-filehandling-core,true,false,true
knime-gateway,true,false,true
knime-geospatial,true,false,true
knime-google,true,false,true
knime-google-wif,true,false,true
knime-hub-secret-store-kes,true,false,true
knime-hubclient-sdk,true,false,true
knime-javasnippet,true,false,true
knime-js-base,true,false,true
knime-js-core,true,false,true
knime-js-labs,true,false,true
knime-js-pagebuilder,true,false,true
knime-json,true,false,true
knime-kaggle,true,false,true
knime-kerberos,true,false,true
knime-office365,true,false,true
knime-orc,true,false,true
knime-plotly,true,false,true
knime-powerbi,true,false,true
knime-product,true,false,true
knime-productivity-oss,true,false,true
knime-python,true,false,true
knime-python-extension-template,true,false,true
knime-python-google-ads,true,false,true
knime-python-legacy,true,false,true
knime-python-llm,true,false,true
knime-python-sklearn,true,false,true
knime-python-types,true,false,true
knime-python-types-example,true,false,true
knime-r,true,false,true
knime-reporting2,true,false,true
knime-rest,true,false,true
knime-salesforce,true,false,true
knime-scripting-editor,true,false,true
knime-sdk-setup,true,false,true
knime-shared,true,false,true
knime-snowflake,true,false,true
knime-spark-jobserver-utils,true,false,true
knime-stats,true,false,true
knime-streaming,true,false,true
knime-svg,true,false,true
knime-tensorflow,true,false,true
knime-textprocessing,true,false,true
knime-timeseries-analysis,true,false,true
knime-ui,true,false,true
knime-ui-extension-service,true,false,true
knime-ui-table,true,false,true
knime-workbench,true,false,true
knime-xml,true,false,true
knimepy,true,false,true
replicated-cmx-hub-initialization-workflow,true,false,true
spark-jobserver,true,false,true
v-calendar,true,false,true
vue-headless-virtual-scroller,true,false,true
vue-virtual-scroller,true,false,true
webapps-common,true,false,true
